dataset,encoded_feature,attribute,target_corr,abs_target_corr,outlier_rate_iqr,logreg_importance,rf_importance,mutual_info,importance_consensus
nsl_kdd,service_ldap,service,0.061241718549039044,0.061241718549039044,0.0,1.0699113239940947,1.7991902075804282e-08,0.0046774680236982835,0.05077809691630808
nsl_kdd,service_courier,service,0.08204734213900225,0.08204734213900225,0.0,1.0991116782864447,1.8181600356015503e-06,0.0024334086148143363,0.05076254339945516
nsl_kdd,flag_S2,flag,-0.025629401949230454,0.025629401949230454,0.0,1.0989616161291222,5.375142575292945e-05,0.002207598454450954,0.050737383828152426
nsl_kdd,flag_RSTO,flag,0.08859210803345473,0.08859210803345473,0.0,1.0631699902962886,0.0004641603460222276,0.0009627694297356104,0.04930560333471875
nsl_kdd,service_rje,service,0.02801206118236481,0.02801206118236481,0.0,1.0897176956002603,0.0,0.0,0.04889504177419137
nsl_kdd,service_daytime,service,0.06906632526469346,0.06906632526469346,0.0,0.9552036997094688,1.539224432541262e-08,0.0049844743424884985,0.0458131442919279
nsl_kdd,is_guest_login,is_guest_login,-0.039279025880509626,0.039279025880509626,0.0,0.7777620814272347,0.001143878502241015,0.012167150019175788,0.04464900582576514
nsl_kdd,service_efs,service,0.06662788893217032,0.06662788893217032,0.0,0.8836397786027318,0.0,0.005810878216366389,0.04309177599764543
nsl_kdd,service_Z39_50,service,0.08895946611647083,0.08895946611647083,0.0,0.8851832098035148,9.587860897888833e-05,0.004964049279478244,0.042872241375645104
nsl_kdd,service_hostnames,service,0.06488149426184689,0.06488149426184689,0.0,0.879193068049456,3.144525444357806e-06,0.0019295131595749027,0.04059926933978034
